Title;Author;Channel_ID;URL;Video_ID;Language;Textfile_Original;Sentiment;Phrases;Keywords;Timestamp
People Are Doing GREAT!  Consumer Spending is THROUGH THE ROOF!;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=uI9dH96-4mU;uI9dH96-4mU;;;;;;
This CANT LAST MUCH LONGER...Homebuyers SPENDING TOO MUCH!;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=p5fLM-qv-4w;p5fLM-qv-4w;;;;;;
BUYERS REMORSE IS BACK! and its Starting To Take its Toll...;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=7yzpBuOa86g;7yzpBuOa86g;;;;;;
Prepare For MAJOR CHANGES AHEAD - Housing Market UPDATE;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=LerQxMJ8J-Y;LerQxMJ8J-Y;;;;;;
4 SIGNS ECONOMIC COLLAPSE is Right Around The Corner...;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=Y6L_FJWQAj0;Y6L_FJWQAj0;;;;;;
MASSIVE HOUSING MARKET LIES Being Told Right Now!;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=zGaAEdqnUNU;zGaAEdqnUNU;;;;;;
WARNING Signs! SUBPRIME Mortgage CRISIS 2.0 is HERE;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=7Elo0WCoYOA;7Elo0WCoYOA;;;;;;
Sellers SLASHING PRICES and TAKING HUGE LOSSES ON HOME SALES;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=g5T5JNCcgAA;g5T5JNCcgAA;;;;;;
People Are DOOM SPENDING THEIR WAY INTO A RECESSION;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=MEmGQLLQ9jA;MEmGQLLQ9jA;;;;;;
REALITY CHECK! 5 Mortgage Rates WILL NOT SAVE THIS HOUSING MARKET;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=ubvLwybMNWE;ubvLwybMNWE;;;;;;
People Are MAXING OUT ALL FORMS OF CREDIT AT AN ALARMING RATE!;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=8-GA6JJk6dw;8-GA6JJk6dw;;;;;;
Mortgage Lenders WILL NOW PAY YOU TO BUY A HOUSE!;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=oCw4wgjUh00;oCw4wgjUh00;;;;;;
AVOID Moving To Florida AT ALL COSTS! 14 NEW REASONS;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=9ONQo6BmfvY;9ONQo6BmfvY;;;;;;
Theyre FINALLY ADMITTING IT!  Home Prices WILL GO DOWN!;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=dhQzy9p1UUE;dhQzy9p1UUE;;;;;;
The BIGGEST HOUSING CRASH in HISTORY They Say WONT HAPPEN;Michael Bordenaro;UCdxGqN9_aBisOJHzIRTGLfg;https://www.youtube.com/watch?v=LS7eGIv7sgY;LS7eGIv7sgY;;;;;;
